"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 구로구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 구로구 개봉동","481","0481","0000","현대","114.99","202101","29","95,000","19","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","84.99","202101","30","83,000","6","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","114.99","202102","6","93,000","11","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","114.99","202102","10","86,500","1","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202102","10","72,000","3","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202102","19","74,500","6","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","84.96","202102","20","86,000","9","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","114.99","202102","21","94,500","20","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","114.99","202103","1","96,000","13","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","6","75,000","10","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","6","76,000","20","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","84.99","202103","12","85,000","11","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","84.99","202103","13","85,500","3","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","84.99","202103","18","78,000","1","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","20","74,200","14","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","20","74,500","24","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","84.99","202103","20","86,700","5","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","23","76,000","24","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","24","73,500","9","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","27","76,500","7","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","481","0481","0000","현대","59.94","202103","29","73,000","15","2001","개봉로20길 6",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","115","202101","5","86,750","5","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","84.915","202101","5","77,500","19","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","84.915","202101","25","77,500","27","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","84.915","202101","26","75,500","2","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","59.49","202101","30","66,500","2","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","115","202102","6","90,500","11","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","84.915","202102","6","82,700","7","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","59.49","202102","7","64,000","23","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","59.49","202102","20","65,500","2","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","84.915","202103","1","79,500","14","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","59.49","202103","5","69,000","16","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","84.915","202103","13","80,000","28","2001","개봉로20길 158",""
"서울특별시 구로구 개봉동","480","0480","0000","현대홈타운","59.49","202103","16","64,700","3","2001","개봉로20길 158",""
"서울특별시 구로구 고척동","325","0325","0000","경남1","84.85","202101","6","60,000","18","1998","경인로47길 150",""
"서울특별시 구로구 고척동","325","0325","0000","경남1","59.98","202101","28","54,000","11","1998","경인로47길 150",""
"서울특별시 구로구 고척동","325","0325","0000","경남1","59.92","202102","25","57,500","15","1998","경인로47길 150",""
"서울특별시 구로구 고척동","325","0325","0000","경남1","84.85","202103","1","59,000","6","1998","경인로47길 150",""
"서울특별시 구로구 고척동","306","0306","0000","경남2","59.96","202101","9","53,000","8","1999","고척로52길 21",""
"서울특별시 구로구 고척동","306","0306","0000","경남2","84.85","202101","17","66,800","12","1999","고척로52길 21",""
"서울특별시 구로구 고척동","340","0340","0000","고척LIG리가1차","84.91","202101","23","84,000","12","2009","중앙로12길 7",""
"서울특별시 구로구 고척동","340","0340","0000","고척LIG리가1차","84.91","202102","1","83,000","10","2009","중앙로12길 7",""
"서울특별시 구로구 고척동","340","0340","0000","고척LIG리가1차","84.98","202103","12","80,500","7","2009","중앙로12길 7",""
"서울특별시 구로구 고척동","340-1","0340","0001","고척LIG리가2차","59.95","202101","22","72,000","17","2009","중앙로12길 17-8",""
"서울특별시 구로구 고척동","343","0343","0000","고척월드메르디앙","84.93","202101","2","70,800","1","2011","중앙로8길 11",""
"서울특별시 구로구 고척동","343","0343","0000","고척월드메르디앙","84.93","202101","15","80,500","11","2011","중앙로8길 11",""
"서울특별시 구로구 고척동","343","0343","0000","고척월드메르디앙","84.93","202101","19","82,000","15","2011","중앙로8길 11",""
"서울특별시 구로구 고척동","343","0343","0000","고척월드메르디앙","84.93","202102","24","75,000","6","2011","중앙로8길 11",""
"서울특별시 구로구 고척동","343","0343","0000","고척월드메르디앙","84.93","202102","27","87,500","18","2011","중앙로8길 11",""
"서울특별시 구로구 고척동","339","0339","0000","고척파크푸르지오","84.94","202102","8","79,000","7","2009","중앙로 121",""
"서울특별시 구로구 고척동","339","0339","0000","고척파크푸르지오","59.89","202103","3","79,000","5","2009","중앙로 121",""
"서울특별시 구로구 고척동","339","0339","0000","고척파크푸르지오","59.89","202103","20","80,800","6","2009","중앙로 121",""
"서울특별시 구로구 고척동","339","0339","0000","고척파크푸르지오","59.89","202103","31","74,000","1","2009","중앙로 121",""
"서울특별시 구로구 고척동","296","0296","0000","대우","59.97","202101","2","57,000","7","1999","고척로52길 48",""
