"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 구로구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202103","29","74,000","9","1999","경인로 382",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","45.32","202101","16","30,500","8","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","42.35","202101","25","27,800","14","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","44.4","202101","27","29,000","2","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","42.35","202101","28","26,900","9","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","48.24","202103","3","36,900","12","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","47.74","202103","8","32,500","2","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","48.24","202103","12","37,000","3","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","45.32","202103","26","31,000","2","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","493","0493","0000","한양아이클래스 구로","45.32","202103","29","26,100","7","2018","개봉로23가길 10",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202101","23","60,000","2","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202101","23","64,000","5","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202101","23","56,200","14","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202101","25","65,000","12","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202101","25","55,900","12","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202101","26","66,000","13","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202101","28","67,000","9","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202101","29","65,800","8","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202101","30","67,500","14","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202101","30","58,000","20","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202102","6","57,500","21","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202102","22","56,000","8","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202102","27","57,300","5","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202103","1","57,850","8","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202103","9","60,000","23","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202103","12","52,500","15","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202103","13","55,500","10","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202103","13","56,500","7","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202103","15","59,000","14","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202103","16","69,500","23","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202103","22","68,000","11","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","59.95","202103","23","57,000","11","2000","개봉로3길 87",""
"서울특별시 구로구 개봉동","478","0478","0000","한진","84.96","202103","25","70,000","4","2000","개봉로3길 87",""
