동두천중앙역,경기도 동두천시 동두천로 228(생연동 682),,,,,,,,,,,,,
보산역,경기도 동두천시 평화로 2539(보산동),,,,,,,,,,,,,
동두천역,경기도 동두천시 평화로 2687(동두천동 245-210),,,,,,,,,,,,,
소요산역,경기도 동두천시 평화로 2925(상봉암동 126),,,,,,,,,,,,,
중랑역,서울특별시 중랑구 중화동 321-37,,,,,,,,,,,,,
상봉역,서울시 중랑구 망우로 297(상봉1동 100-9번지),,,,,,,,,,,,,
망우역,서울시 중랑구 망우로 55길 11-10,,,,,,,,,,,,,
양원역,서울시 중랑구 송림길 147(망우동),,,,,,,,,,,,,
지평역,경기도 양평군 지평면 지평역길 32,,,,,,,,,,,,,
구리역,경기도 구리시 건원대로 34번길 32-29(인창동 244-2),,,,,,,,,,,,,
도농역,경기도 남양주시 경춘로 433(도농동 56-1),,,,,,,,,,,,,
양정역,경기도 남양주시 경강로 237(이패동 398-32),,,,,,,,,,,,,
덕소역,경기도 남양주시 와부읍 덕서로 56(덕소리 590-17),,,,,,,,,,,,,
도심역,경기도 남양주시 와부읍 덕소로 237(도곡리 1024-2),,,,,,,,,,,,,
팔당역,경기도 남양주시 와부읍 팔당로 107번길,,,,,,,,,,,,,
운길산역,경기도 남양주시 조안면 진중리 255-1,,,,,,,,,,,,,
양수역,경기도 양평군 양서면 목왕로 55-10,,,,,,,,,,,,,
신원역,경기도 양평군 양서면 신원역길 5-3,,,,,,,,,,,,,
국수역,경기도 양평군 양서면 국수역길 45,,,,,,,,,,,,,
아신역,경기도 양평군 옥천면 아신역길 1길 23-3,,,,,,,,,,,,,
오빈역,경기도 양평군 양평읍 덕바위길 29번길,,,,,,,,,,,,,
양평역,경기도 양평군 양평읍 양근리 137,,,,,,,,,,,,,
원덕역,경기도 양평군 양평읍 원덕흑천길 136,,,,,,,,,,,,,
용문역,경기도 양평군 용문면 용문역길 18,,,,,,,,,,,,,
서울숲역,서울시 성동구 왕십리로 지하 77,,,,,,,,,,,,,
압구정로데오역,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),,,,,,,,,,,,,
강남구청역,서울시 강남구 학동로 지하 364,,,,,,,,,,,,,
선정릉역,서울시 강남구 선릉로 지하 580(삼성동),,,,,,,,,,,,,
